Respondent_Serial,language,country,yyyymmdd,AgeGender,weight,regionAustralia,regionUS,regionUK,regionIndia,regionNigeria,regionPhilippines,regionFinland,regionPortugal,regionBrazil,regionFrance,D1,D2,D3,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9
4354,English,United Kingdom,20210521,Women 21-25,0.9578710094154348, , ,North, , , , , , , ,25,woman,United Kingdom: North,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,very,very,not at all,extremely,not at all,very,very,not at all
4355,English,Australia,20210521,Women 16-20,0.91285867084328,Victoria, , , , , , , , , ,20,woman,Australia: Victoria,a little,no,no,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,yes,I don't talk to other people about climate change,not at all,no,no,no,no,no,no,no,no,no,very,extremely,extremely,not at all,a little,not at all,extremely,extremely,not at all
4359,English,United Kingdom,20210521,Men 16-20,1.0867348822890601, , ,North, , , , , , , ,18,man,United Kingdom: North,very,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,yes,prefer not to say,I don't talk to other people about climate change,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,no,prefer not to say,a little,a little,extremely,prefer not to say,prefer not to say,prefer not to say,a little,prefer not to say
4364,English,India,20210521,Men 21-25,0.8147417338887302, , , ,North India, , , , , , ,23,man,India: North India,very,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,a little,no,no,no,no,no,no,yes,no,yes,moderately,a little,very,not at all,very,not at all,a little,a little,not at all
4365,English,India,20210521,Men 16-20,1.4754948727237758, , , ,North India, , , , , , ,19,man,India: North India,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,moderately,no,no,yes,no,no,no,yes,yes,yes,moderately,a little,moderately,a little,very,moderately,very,moderately,moderately
4366,English,Australia,20210521,Men 16-20,1.0829899515802246,New South Wales, , , , , , , , , ,17,man,Australia: New South Wales,moderately,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,I don't talk to other people about climate change,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say,prefer not to say
4368,English,United Kingdom,20210521,Women 21-25,0.9061251320493839, , ,Midlands, , , , , , , ,23,woman,United Kingdom: Midlands,very,yes,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,no,a little,yes,no,yes,no,yes,no,yes,no,no,very,very,moderately,moderately,very,not at all,moderately,moderately,a little
4369,English,Australia,20210521,Women 16-20,0.91285867084328,Victoria, , , , , , , , , ,20,woman,Australia: Victoria,extremely,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,a little,very,very,moderately,very,not at all,moderately,a little,a little
4370,English,Australia,20210521,Men 21-25,1.075367824346403,New South Wales, , , , , , , , , ,21,man,Australia: New South Wales,moderately,no,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,moderately,no,no,no,no,no,no,yes,yes,no,not at all,not at all,moderately,moderately,very,moderately,a little,not at all,not at all
4371,Portuguese,Portugal,20210521,Men 16-20,1.1763757555835912, , , , , , , ,Lisboa & Tagus Valley, , ,19,man,Portugal: Lisboa & Tagus Valley,very,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,moderately,no,no,no,no,yes,no,yes,yes,yes,a little,moderately,moderately,moderately,moderately,moderately,a little,moderately,moderately
4372,English,United States,20210521,Men 16-20,0.9546445842893633, ,Northwest/Northeast, , , , , , , , ,19,man,United States: Northwest/Northeast,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,very,extremely,very,extremely,very,extremely,extremely,extremely,very
4373,Finnish,Finland,20210521,Women 21-25,0.7093192249242061, , , , , , ,West Finland, , , ,25,woman,Finland: West Finland,extremely,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,not at all,no,no,yes,yes,no,no,yes,no,no,very,moderately,very,a little,very,a little,very,very,a little
4374,Portuguese,Portugal,20210521,Women 21-25,0.6749451399178247, , , , , , , ,Lisboa & Tagus Valley, , ,24,woman,Portugal: Lisboa & Tagus Valley,very,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,a little,yes,no,no,yes,prefer not to say,prefer not to say,no,no,no,very,not at all,a little,very,moderately,very,moderately,a little,moderately
4375,English,United Kingdom,20210521,Women 21-25,0.9122757883172335, , ,South, , , , , , , ,25,woman,United Kingdom: South,very,yes,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,a little,no,no,no,yes,yes,no,no,yes,yes,not at all,not at all,a little,a little,a little,prefer not to say,not at all,not at all,moderately
4376,French,France,20210521,Men 21-25,1.0100925767293323, , , , , , , , , ,North East,21,man,France: North East,extremely,yes,prefer not to say,yes,yes,no,yes,prefer not to say,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,very,very,very,not at all,very,very,very,very,very
4377,English,United Kingdom,20210521,Women 21-25,0.9578710094154348, , ,North, , , , , , , ,21,woman,United Kingdom: North,extremely,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,prefer not to say,yes,no,no,yes,yes,yes,no,no,no,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,prefer not to say,extremely,very,a little,extremely,a little,extremely,moderately,not at all
4378,English,Australia,20210521,Women 16-20,0.9157517225616252,South Australia, , , , , , , , , ,16,woman,Australia: South Australia,moderately,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,moderately,yes,yes,no,yes,yes,yes,yes,yes,yes,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all
4382,English,Australia,20210521,Women 16-20,0.8694183933646281,New South Wales, , , , , , , , , ,18,woman,Australia: New South Wales,not worried,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,I don't talk to other people about climate change,moderately,prefer not to say,no,no,prefer not to say,prefer not to say,prefer not to say,prefer not to say,no,no,a little,a little,moderately,a little,not at all,moderately,moderately,a little,moderately
4383,English,Australia,20210521,Women 16-20,0.91285867084328,Victoria, , , , , , , , , ,20,woman,Australia: Victoria,extremely,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,prefer not to say,yes,yes,yes,no,yes,yes,yes,yes,a little,no,no,yes,no,no,no,yes,yes,yes,moderately,very,very,not at all,very,a little,not at all,not at all,a little
4384,English,Nigeria,20210521,Women 16-20,1.4952088593909432, , , , ,South South, , , , , ,18,woman,Nigeria: South South,very,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,moderately,no,no,yes,no,no,no,yes,yes,yes,not at all,a little,a little,not at all,moderately,not at all,not at all,a little,not at all
4385,English,United States,20210521,Women 16-20,0.7880886902845492, ,South, , , , , , , , ,19,woman,United States: South,very,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,I don't talk to other people about climate change,a little,no,no,yes,no,no,no,yes,yes,yes,a little,extremely,extremely,not at all,extremely,a little,extremely,extremely,not at all
4392,English,United Kingdom,20210521,Women 16-20,0.9803719981125373, , ,South, , , , , , , ,18,woman,United Kingdom: South,a little,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,a little,no,no,yes,no,no,no,no,yes,yes,a little,a little,not at all,moderately,a little,not at all,not at all,a little,moderately
4393,English,United Kingdom,20210521,Women 21-25,0.9578710094154348, , ,North, , , , , , , ,24,woman,United Kingdom: North,very,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,prefer not to say,no,no,yes,prefer not to say,prefer not to say,prefer not to say,yes,yes,not at all,no,no,yes,yes,no,no,yes,yes,yes,prefer not to say,moderately,a little,a little,very,not at all,very,moderately,a little
4394,English,Australia,20210521,Women 21-25,0.8102035376159856,Victoria, , , , , , , , , ,22,woman,Australia: Victoria,very,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,moderately,prefer not to say,prefer not to say,prefer not to say,prefer not to say,no,no,prefer not to say,no,no,moderately,moderately,a little,a little,a little,moderately,a little,prefer not to say,moderately
4395,English,Australia,20210521,Women 16-20,0.9157517225616252,South Australia, , , , , , , , , ,18,woman,Australia: South Australia,moderately,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,moderately,no,no,no,no,no,no,no,no,no,moderately,a little,a little,moderately,a little,moderately,very,a little,moderately
4396,French,France,20210521,Men 16-20,0.9707145076462869, , , , , , , , , ,Centre,18,man,France: Centre,very,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,a little,yes,yes,no,yes,yes,no,yes,yes,yes,moderately,very,a little,very,extremely,a little,very,moderately,a little
4398,Finnish,Finland,20210521,Women 16-20,1.2080684447628702, , , , , , ,South Finland, , , ,19,woman,Finland: South Finland,extremely,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,moderately,yes,no,no,yes,yes,yes,no,no,no,very,a little,very,not at all,moderately,not at all,not at all,a little,a little
4399,English,Australia,20210521,Women 16-20,1.0795608562983807,Queensland, , , , , , , , , ,20,woman,Australia: Queensland,very,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,very,very,very,very,not at all,moderately,very,a little
4400,English,Australia,20210521,Women 16-20,0.91285867084328,Victoria, , , , , , , , , ,18,woman,Australia: Victoria,extremely,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,a little,no,no,yes,no,no,no,yes,yes,yes,not at all,a little,a little,a little,moderately,not at all,not at all,extremely,a little
4403,English,Australia,20210521,Women 21-25,0.8102035376159856,Victoria, , , , , , , , , ,25,woman,Australia: Victoria,moderately,yes,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,no,moderately,a little,a little,not at all,extremely,not at all,not at all,extremely,not at all
4404,French,France,20210521,Women 16-20,1.0453907986638666, , , , , , , , , ,Centre,18,woman,France: Centre,moderately,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,moderately,yes,yes,yes,yes,yes,yes,yes,yes,yes,a little,a little,a little,a little,a little,a little,a little,a little,a little
4408,French,France,20210521,Men 21-25,0.9512586747655055, , , , , , , , , ,Centre,21,man,France: Centre,very,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,moderately,no,no,no,yes,no,no,yes,no,no,not at all,a little,not at all,not at all,moderately,moderately,a little,not at all,a little
4409,French,France,20210521,Men 21-25,1.0100925767293323, , , , , , , , , ,North East,25,man,France: North East,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,very,a little,not at all,extremely,not at all,very,extremely,not at all
4410,English,United Kingdom,20210521,Men 21-25,1.018517060327449, , ,South, , , , , , , ,22,man,United Kingdom: South,very,no,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no,no,yes,no,I don't talk to other people about climate change,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,very,moderately,not at all,very,a little,a little,moderately,moderately
4411,Finnish,Finland,20210521,Women 21-25,0.7403900082320471, , , , , , ,South Finland, , , ,25,woman,Finland: South Finland,moderately,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,I don't talk to other people about climate change,not at all,no,no,yes,no,no,no,yes,yes,yes,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all
4412,English,United Kingdom,20210521,Women 16-20,0.973762230263565, , ,Midlands, , , , , , , ,17,woman,United Kingdom: Midlands,moderately,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,not at all,no,no,no,no,no,no,no,no,no,moderately,moderately,moderately,moderately,moderately,moderately,a little,moderately,moderately
4413,English,Australia,20210521,Men 21-25,1.075367824346403,New South Wales, , , , , , , , , ,21,man,Australia: New South Wales,moderately,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,moderately,no,yes,yes,no,yes,no,no,yes,no,moderately,very,not at all,very,a little,very,moderately,very,a little
4415,English,Nigeria,20210521,Women 21-25,0.5484544101033021, , , , ,North Central, , , , , ,21,woman,Nigeria: North Central,not worried,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,yes,yes,moderately,yes,yes,no,yes,yes,yes,no,yes,no,a little,not at all,moderately,a little,not at all,moderately,not at all,moderately,very
4416,English,United Kingdom,20210521,Women 16-20,0.9803719981125373, , ,South, , , , , , , ,18,woman,United Kingdom: South,very,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,a little,very,moderately,not at all,very,not at all,moderately,moderately,a little
4417,English,Australia,20210521,Men 16-20,1.1371012797535018,Victoria, , , , , , , , , ,17,man,Australia: Victoria,extremely,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,a little,very,moderately,moderately,a little,moderately,very,not at all
4418,English,Australia,20210521,Women 21-25,0.8102035376159856,Victoria, , , , , , , , , ,25,woman,Australia: Victoria,very,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,a little,no,no,yes,no,no,no,yes,yes,yes,a little,very,very,a little,very,a little,very,very,a little
4419,English,United Kingdom,20210521,Women 21-25,0.9578710094154348, , ,North, , , , , , , ,24,woman,United Kingdom: North,very,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,a little,yes,no,yes,yes,yes,yes,no,yes,yes,a little,a little,moderately,a little,moderately,a little,a little,not at all,a little
4420,English,Australia,20210521,Women 16-20,0.8694183933646281,New South Wales, , , , , , , , , ,18,woman,Australia: New South Wales,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,not at all,yes,yes,yes,yes,no,prefer not to say,no,yes,prefer not to say,moderately,very,very,not at all,very,a little,very,moderately,moderately
4421,English,Nigeria,20210521,Women 21-25,2.2030632883455015, , , , ,North East, , , , , ,25,woman,Nigeria: North East,very,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,moderately,no,no,yes,yes,no,no,no,yes,yes,moderately,very,extremely,a little,moderately,a little,a little,extremely,moderately
4422,Portuguese,Portugal,20210521,Men 21-25,0.8432625289349607, , , , , , , ,North, , ,25,man,Portugal: North,extremely,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,moderately,no,no,yes,no,no,yes,yes,yes,yes,not at all,a little,very,not at all,moderately,not at all,a little,very,not at all
4423,English,Australia,20210521,Women 21-25,4.16064054476303,Northern Territory, , , , , , , , , ,24,woman,Australia: Northern Territory,moderately,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,moderately,yes,yes,prefer not to say,no,no,yes,prefer not to say,no,no,moderately,moderately,moderately,a little,not at all,extremely,not at all,very,moderately
4424,English,United Kingdom,20210521,Women 21-25,0.9061251320493839, , ,Midlands, , , , , , , ,23,woman,United Kingdom: Midlands,very,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,prefer not to say,yes,yes,no,yes,no,moderately,yes,yes,yes,yes,no,no,yes,yes,yes,moderately,a little,moderately,a little,moderately,very,moderately,very,moderately
4425,French,France,20210521,Men 21-25,1.2199602900435262, , , , , , , , , ,North West,23,man,France: North West,extremely,yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,a little,no,yes,prefer not to say,no,no,no,yes,no,yes,very,very,very,a little,moderately,not at all,not at all,not at all,not at all
4426,English,Australia,20210521,Women 21-25,0.8102035376159856,Victoria, , , , , , , , , ,23,woman,Australia: Victoria,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,I don't talk to other people about climate change,a little,no,no,yes,yes,no,no,yes,yes,yes,very,very,extremely,a little,extremely,a little,extremely,moderately,moderately
4428,English,United Kingdom,20210521,Men 16-20,1.0350056653631439, , ,South, , , , , , , ,17,man,United Kingdom: South,a little,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,prefer not to say,no,yes,no,no,no,yes,I don't talk to other people about climate change,very,no,yes,yes,yes,yes,yes,no,no,yes,a little,moderately,a little,moderately,not at all,moderately,very,not at all,very
4429,English,United Kingdom,20210521,Women 21-25,0.9061251320493839, , ,Midlands, , , , , , , ,25,woman,United Kingdom: Midlands,very,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,a little,yes,yes,yes,yes,yes,yes,yes,yes,yes,a little,very,very,a little,very,a little,moderately,moderately,a little
4430,English,Philippines,20210521,Women 21-25,0.6617849655159419, , , , , ,Central Philippines Region, , , , ,24,woman,Philippines: Central Philippines Region,extremely,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,prefer not to say,yes,no,yes,yes,yes,no,a little,no,prefer not to say,prefer not to say,no,prefer not to say,no,yes,prefer not to say,prefer not to say,moderately,moderately,very,moderately,moderately,moderately,moderately,moderately,a little
4433,English,Australia,20210521,Women 21-25,0.8127712524349114,South Australia, , , , , , , , , ,25,woman,Australia: South Australia,very,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,yes,no,a little,no,no,yes,no,yes,yes,no,no,no,not at all,not at all,a little,moderately,not at all,a little,not at all,a little,moderately
4434,English,Philippines,20210521,Women 21-25,0.649679802136875, , , , , ,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle, , , , ,23,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,yes,yes,yes,prefer not to say,yes,yes,prefer not to say,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,a little,a little,very,a little,a little,not at all,a little,a little,not at all
4435,English,Australia,20210521,Men 16-20,1.1535912600815725,Western Australia, , , , , , , , , ,16,man,Australia: Western Australia,a little,no,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,not at all,no,no,yes,no,no,no,no,yes,yes,not at all,not at all,a little,not at all,not at all,not at all,not at all,not at all,not at all
4436,English,United Kingdom,20210521,Men 16-20,1.028027551765864, , ,Midlands, , , , , , , ,17,man,United Kingdom: Midlands,a little,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,prefer not to say,yes,moderately,yes,yes,yes,no,yes,no,yes,yes,yes,moderately,very,very,moderately,very,extremely,a little,moderately,a little
4437,English,Australia,20210521,Women 21-25,0.7716483180487432,New South Wales, , , , , , , , , ,23,woman,Australia: New South Wales,not worried,no,no,no,no,no,no,no,no,no,no,no,prefer not to say,no,yes,no,no,no,no,no,no,no,no,no,not at all,no,no,no,no,no,no,no,no,no,moderately,extremely,moderately,not at all,extremely,not at all,extremely,extremely,not at all
4438,English,Nigeria,20210521,Men 21-25,0.3940813394917377, , , , ,North Central, , , , , ,22,man,Nigeria: North Central,moderately,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,moderately,yes,no,yes,yes,yes,yes,no,yes,yes,a little,not at all,extremely,very,very,extremely,not at all,a little,very
4440,English,India,20210521,Men 16-20,1.4754948727237758, , , ,North India, , , , , , ,19,man,India: North India,very,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,very,yes,yes,yes,yes,no,yes,no,yes,no,not at all,not at all,a little,very,moderately,a little,moderately,a little,not at all
4445,Portuguese,Brazil,20210521,Women 21-25,0.7251856528559323, , , , , , , , ,Northeast, ,24,woman,Brazil: Northeast,very,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,not at all,no,no,yes,no,no,yes,yes,no,yes,extremely,extremely,extremely,not at all,extremely,not at all,extremely,not at all,not at all
4448,French,France,20210521,Men 21-25,1.2199602900435262, , , , , , , , , ,North West,25,man,France: North West,not worried,no,no,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,I don't talk to other people about climate change,moderately,no,no,prefer not to say,no,no,no,no,no,no,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately
4451,English,Australia,20210521,Women 16-20,0.9260967366097504,Western Australia, , , , , , , , , ,18,woman,Australia: Western Australia,not worried,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,I don't talk to other people about climate change,not at all,yes,no,no,no,no,yes,no,no,no,not at all,not at all,not at all,extremely,not at all,extremely,not at all,not at all,extremely
4454,English,United Kingdom,20210521,Women 16-20,1.0293706436809786, , ,North, , , , , , , ,18,woman,United Kingdom: North,moderately,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,I don't talk to other people about climate change,a little,no,no,yes,yes,yes,yes,no,no,no,not at all,not at all,not at all,moderately,not at all,a little,not at all,moderately,a little
4459,Portuguese,Brazil,20210521,Men 16-20,1.5410586128626849, , , , , , , , ,Northeast, ,20,man,Brazil: Northeast,a little,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,a little,no,no,no,no,yes,yes,no,yes,no,not at all,not at all,not at all,not at all,a little,a little,not at all,not at all,not at all
4461,English,United States,20210521,Women 16-20,0.7809166565777321, ,Midwest, , , , , , , , ,19,woman,United States: Midwest,moderately,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,not at all,no,yes,no,no,no,no,yes,yes,yes,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately
4464,English,Australia,20210521,Women 16-20,0.9260967366097504,Western Australia, , , , , , , , , ,16,woman,Australia: Western Australia,very,yes,no,yes,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,yes,no,yes,no,yes,prefer not to say,prefer not to say,I don't talk to other people about climate change,a little,yes,no,prefer not to say,yes,no,yes,prefer not to say,yes,yes,not at all,moderately,a little,a little,a little,not at all,not at all,a little,not at all
4465,English,India,20210521,Men 21-25,0.8147417338887302, , , ,North India, , , , , , ,25,man,India: North India,very,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,prefer not to say,yes,no,no,no,yes,no,very,yes,no,yes,no,no,yes,yes,no,no,very,very,moderately,moderately,very,moderately,moderately,moderately,a little
4468,English,United Kingdom,20210521,Women 21-25,0.9122757883172335, , ,South, , , , , , , ,24,woman,United Kingdom: South,very,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,yes,moderately,yes,no,no,yes,yes,yes,yes,yes,yes,a little,moderately,moderately,very,very,a little,very,a little,a little
4469,French,France,20210521,Women 21-25,0.8028759325112382, , , , , , , , , ,Centre,25,woman,France: Centre,a little,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,not at all,yes,yes,yes,yes,yes,yes,yes,yes,yes,moderately,a little,a little,moderately,a little,moderately,a little,moderately,a little
4470,Portuguese,Brazil,20210521,Women 21-25,0.726200239102256, , , , , , , , ,Southeast, ,23,woman,Brazil: Southeast,extremely,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,not at all,no,no,yes,yes,yes,no,yes,no,yes,very,very,very,not at all,moderately,not at all,moderately,a little,not at all
4473,English,Philippines,20210521,Women 21-25,0.649679802136875, , , , , ,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle, , , , ,22,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,very,very,moderately,a little,very,not at all,very,very,not at all
4474,Portuguese,Portugal,20210521,Women 21-25,0.6749451399178247, , , , , , , ,Lisboa & Tagus Valley, , ,21,woman,Portugal: Lisboa & Tagus Valley,very,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,moderately,no,no,yes,yes,no,no,yes,yes,no,moderately,a little,moderately,a little,moderately,a little,a little,a little,a little
